316,performance,float32,day_316_12_11_22_performance_float32_265
317,performance,amp,day_317_13_11_22_performance_amp_177
317,performance,float32,day_317_13_11_22_performance_float32_447
318,performance,amp,day_318_14_11_22_performance_amp_321
318,performance,float32,day_318_14_11_22_performance_float32_956
319,performance,amp,day_319_15_11_22_performance_amp_653
319,performance,float32,day_319_15_11_22_performance_float32_390
320,performance,amp,day_320_16_11_22_performance_amp_406
320,performance,float32,day_320_16_11_22_performance_float32_377
321,performance,amp,day_321_17_11_22_performance_amp_119
321,performance,float32,day_321_17_11_22_performance_float32_102
322,performance,amp,day_322_18_11_22_performance_amp_195
322,performance,float32,day_322_18_11_22_performance_float32_288
323,performance,float32,day_323_19_11_22_performance_float32_205
323,performance,amp,day_323_19_11_22_performance_amp_691
323,performance,amp,day_323_19_11_22_performance_amp_108
324,performance,float32,day_324_20_11_22_performance_float32_565
324,performance,amp,day_324_20_11_22_performance_amp_450
325,performance,float32,day_325_21_11_22_performance_float32_441
325,performance,amp,day_325_21_11_22_performance_amp_324
326,performance,float32,day_326_22_11_22_performance_float32_285
326,performance,amp,day_326_22_11_22_performance_amp_142
327,performance,float32,day_327_23_11_22_performance_float32_629
327,performance,amp,day_327_23_11_22_performance_amp_433
326,performance,amp,day_326_22_11_22_performance_amp_568
326,performance,float32,day_326_22_11_22_performance_float32_893
326,performance,amp,day_326_22_11_22_performance_amp_717
328,performance,float32,day_328_24_11_22_performance_float32_540
328,performance,amp,day_328_24_11_22_performance_amp_688
328,performance,float32,day_328_24_11_22_performance_float32_321
328,performance,amp,day_328_24_11_22_performance_amp_836
329,performance,float32,day_329_25_11_22_performance_float32_197
329,performance,amp,day_329_25_11_22_performance_amp_881
330,performance,float32,day_330_26_11_22_performance_float32_106
330,performance,amp,day_330_26_11_22_performance_amp_444
331,performance,float32,day_331_27_11_22_performance_float32_723
331,performance,amp,day_331_27_11_22_performance_amp_201
332,performance,float32,day_332_28_11_22_performance_float32_464
332,performance,amp,day_332_28_11_22_performance_amp_790
333,performance,float32,day_333_29_11_22_performance_float32_427
333,performance,amp,day_333_29_11_22_performance_amp_126
334,performance,float32,day_334_30_11_22_performance_float32_372
334,performance,amp,day_334_30_11_22_performance_amp_127
335,performance,float32,day_335_01_12_22_performance_float32_256
335,performance,amp,day_335_01_12_22_performance_amp_370
336,performance,float32,day_336_02_12_22_performance_float32_468
336,performance,amp,day_336_02_12_22_performance_amp_578
337,performance,float32,day_337_03_12_22_performance_float32_930
337,performance,amp,day_337_03_12_22_performance_amp_472
338,performance,float32,day_338_04_12_22_performance_float32_385
338,performance,amp,day_338_04_12_22_performance_amp_384
339,performance,float32,day_339_05_12_22_performance_float32_236
339,performance,amp,day_339_05_12_22_performance_amp_160
341,performance,float32,day_341_07_12_22_performance_float32_162
341,performance,amp,day_341_07_12_22_performance_amp_906
342,performance,float32,day_342_08_12_22_performance_float32_686
342,performance,amp,day_342_08_12_22_performance_amp_894
343,performance,float32,day_343_09_12_22_performance_float32_657
343,performance,amp,day_343_09_12_22_performance_amp_754
344,performance,float32,day_344_10_12_22_performance_float32_485
344,performance,amp,day_344_10_12_22_performance_amp_362
345,performance,float32,day_345_11_12_22_performance_float32_288
345,performance,amp,day_345_11_12_22_performance_amp_258
346,performance,float32,day_346_12_12_22_performance_float32_223
346,performance,amp,day_346_12_12_22_performance_amp_592
347,performance,float32,day_347_13_12_22_performance_float32_941
347,performance,amp,day_347_13_12_22_performance_amp_171
348,performance,float32,day_348_14_12_22_performance_float32_716
348,performance,amp,day_348_14_12_22_performance_amp_873
349,performance,float32,day_349_15_12_22_performance_float32_260
349,performance,amp,day_349_15_12_22_performance_amp_954
351,performance,float32,day_351_17_12_22_performance_float32_723
351,performance,amp,day_351_17_12_22_performance_amp_461
352,performance,float32,day_352_18_12_22_performance_float32_582
352,performance,amp,day_352_18_12_22_performance_amp_390
353,performance,float32,day_353_19_12_22_performance_float32_156
353,performance,amp,day_353_19_12_22_performance_amp_338
354,performance,float32,day_354_20_12_22_performance_float32_852
354,performance,amp,day_354_20_12_22_performance_amp_266
355,performance,float32,day_355_21_12_22_performance_float32_586
