dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,compile_fx.<locals>.bw_compiler,CachingAutotuner.autotune_to_one_config
cuda,LayoutLMForMaskedLM,16,2.730740,5.626714,2.046353,8.140415,2.526358,1.206607,0.237801,4.901517,1.477318
cuda,LayoutLMForSequenceClassification,16,2.695840,5.803026,1.995107,10.049836,3.218166,1.748233,0.231773,6.326912,6.737832
cuda,M2M100ForConditionalGeneration,16,4.989531,12.336390,5.653375,18.794166,6.870616,3.065004,0.641712,8.218653,12.314241
cuda,MBartForCausalLM,4,1.803713,7.108198,2.167966,9.766980,2.678617,1.106416,0.200280,1.235280,4.908607
cuda,MBartForConditionalGeneration,2,4.984689,12.046865,6.220781,17.266030,7.525584,2.857309,0.785676,0.472590,11.652411
cuda,MT5ForConditionalGeneration,16,4.964414,8.502300,4.736647,12.701754,4.883890,1.817666,0.412311,20.105816,9.107780
cuda,MegatronBertForCausalLM,4,4.704552,7.637794,4.936086,11.684711,5.364721,3.007900,0.608732,9.153282,0.411166
cuda,MegatronBertForQuestionAnswering,8,4.745957,7.414630,4.866568,10.657963,5.142094,2.273202,0.595557,8.280426,0.609953
cuda,MobileBertForMaskedLM,64,10.846105,7.028148,6.617435,16.261390,7.974027,3.669715,1.792321,17.105901,1.731142
cuda,MobileBertForQuestionAnswering,128,10.863631,6.938728,7.038380,17.321317,8.335363,4.149108,2.103044,18.626438,1.015750
cuda,OPTForCausalLM,2,1.855562,5.665938,2.202562,8.408863,3.105517,1.270587,0.219761,1.586786,5.022139
cuda,PLBartForCausalLM,8,0.982845,4.149881,1.263815,6.423608,1.408200,0.660581,0.100449,1.123791,3.581993
cuda,PLBartForConditionalGeneration,4,2.738737,6.973089,3.036980,10.701574,3.656569,1.674149,0.332054,1.542830,6.875569
cuda,PegasusForCausalLM,32,2.118513,6.030980,2.128752,9.356855,2.701815,1.185692,0.215830,1.491228,5.536362
cuda,PegasusForConditionalGeneration,32,4.800726,11.091812,6.005990,15.880576,6.171156,2.980084,0.632506,0.686114,11.002753
cuda,RobertaForCausalLM,16,2.392947,5.858000,2.518675,7.950695,2.612678,1.245229,0.234590,0.739373,4.698478
cuda,RobertaForQuestionAnswering,16,2.437175,5.730613,2.243938,7.693717,2.461123,1.182867,0.229652,4.495717
cuda,Speech2Text2ForCausalLM,256,1.232598,4.775259,0.903022,7.734055,1.456670,0.596482,0.093424,1.066329,3.904917
cuda,T5ForConditionalGeneration,4,3.460134,6.776332,3.191466,11.954870,3.487394,1.347599,0.268529,5.439416,8.484702
cuda,T5Small,4,3.350973,6.801921,3.164564,12.061315,3.494052,1.354710,0.268647,5.439731,8.538697
cuda,TrOCRForCausalLM,32,1.785298,5.395483,1.894818,8.637331,2.955929,1.174471,0.214445,1.044384,5.216146
cuda,XGLMForCausalLM,8,4.113913,11.731406,5.162426,17.170737,6.506493,3.022602,0.600124,21.710430,11.054704
cuda,XLNetLMHeadModel,8,6.029101,89.840861,7.240971,93.109281,77.161705,2.762852,0.731246,7.947615,10.778219
cuda,YituTechConvBert,16,3.552505,8.426670,3.513359,13.697474,4.534790,1.836720,0.405677,8.032133,8.916420
