dev,suite,name,start_latency,batch_size,graphs,graph_calls,captured_ops,total_ops,pct_ops,pct_time
cuda,timm_models,resnest101e,7.5213,64.0,1.0,1.0,1014.0,1014.0,1.0,0.999
cuda,huggingface,T5ForConditionalGeneration,7.288,4.0,1.0,1.0,865.0,865.0,1.0,0.9982
cuda,huggingface,T5Small,7.2332,1.0,1.0,1.0,859.0,859.0,1.0,0.9981
cuda,huggingface,GPTNeoForSequenceClassification,7.1644,4.0,2.0,2.0,1270.0,1271.0,0.9992,0.9995
cuda,huggingface,GPTNeoForCausalLM,7.1067,4.0,1.0,1.0,1274.0,1274.0,1.0,0.9996
cuda,torchbench,hf_T5,6.9046,,1.0,1.0,861.0,861.0,1.0,0.9982
cuda,timm_models,densenet121,6.3806,128.0,13.0,13.0,565.0,571.0,0.9895,0.9957
cuda,timm_models,cspdarknet53,6.2445,64.0,1.0,1.0,305.0,305.0,1.0,0.9975
cuda,timm_models,xcit_large_24_p8_224,6.2325,11.0,1.0,1.0,1297.0,1297.0,1.0,0.9992
cuda,huggingface,DebertaV2ForQuestionAnswering,6.1793,4.0,163.0,99.0,944.0,1014.0,0.931,0.7859
cuda,huggingface,DebertaV2ForMaskedLM,6.1493,4.0,163.0,99.0,955.0,1044.0,0.9148,0.7886
cuda,huggingface,PegasusForConditionalGeneration,5.9986,8.0,7.0,7.0,1315.0,1320.0,0.9962,0.9982
cuda,huggingface,XGLMForCausalLM,5.9409,4.0,4.0,4.0,1027.0,1027.0,1.0,0.9977
cuda,huggingface,M2M100ForConditionalGeneration,5.8136,4.0,7.0,7.0,1333.0,1336.0,0.9978,0.9978
cuda,timm_models,twins_pcpvt_base,5.7547,128.0,1.0,1.0,1063.0,1063.0,1.0,0.9984
cuda,timm_models,nfnet_l0,5.5113,128.0,1.0,1.0,521.0,521.0,1.0,0.9983
cuda,timm_models,legacy_senet154,5.4904,64.0,1.0,1.0,979.0,979.0,1.0,0.9992
cuda,timm_models,res2net101_26w_4s,5.357,128.0,1.0,1.0,842.0,842.0,1.0,0.9991
cuda,timm_models,poolformer_m36,5.3193,64.0,1.0,1.0,616.0,616.0,1.0,0.9983
cuda,huggingface,BlenderbotSmallForConditionalGeneration,5.243,64.0,1.0,1.0,878.0,878.0,1.0,0.9987
cuda,timm_models,gernet_l,5.055,128.0,1.0,1.0,246.0,246.0,1.0,0.9974
cuda,huggingface,LayoutLMForMaskedLM,5.0459,16.0,1.0,1.0,451.0,451.0,1.0,0.9974
