dev,suite,name,start_latency,batch_size,graphs,graph_calls,captured_ops,total_ops,pct_ops,pct_time
cuda,timm_models,dm_nfnet_f0,9.0242,128,1.0,1.0,592.0,592.0,1.0,0.9988
cuda,torchbench,timm_nfnet,8.8916,128,1.0,1.0,590.0,590.0,1.0,0.9989
cuda,timm_models,gluon_senet154,8.6428,64,1.0,1.0,979.0,979.0,1.0,0.9995
cuda,huggingface,YituTechConvBert,7.8844,1,1.0,1.0,641.0,641.0,1.0,0.9985
cuda,timm_models,cait_m36_384,7.8505,4,1.0,1.0,1383.0,1383.0,1.0,0.9993
cuda,huggingface,BigBird,7.5467,1,64.0,75.0,5472.0,5544.0,0.987,0.9722
cuda,torchbench,hf_BigBird,7.4824,1,64.0,75.0,5468.0,5541.0,0.9868,0.9694
cuda,huggingface,T5ForConditionalGeneration,7.3379,4,1.0,1.0,860.0,860.0,1.0,0.9988
cuda,timm_models,resnest101e,7.2982,64,1.0,1.0,1002.0,1002.0,1.0,0.9992
cuda,huggingface,GPTNeoForSequenceClassification,7.2747,4,2.0,2.0,1198.0,1198.0,1.0,0.9994
cuda,huggingface,GPTNeoForCausalLM,7.2548,4,1.0,1.0,1199.0,1199.0,1.0,0.9996
cuda,huggingface,T5Small,7.1421,1,1.0,1.0,868.0,868.0,1.0,0.9983
cuda,torchbench,hf_T5,6.8381,1,1.0,1.0,860.0,860.0,1.0,0.9985
cuda,huggingface,DebertaV2ForQuestionAnswering,6.4234,4,163.0,99.0,921.0,983.0,0.9369,0.7793
cuda,huggingface,DebertaV2ForMaskedLM,6.3969,4,163.0,99.0,915.0,990.0,0.9242,0.7742
cuda,timm_models,densenet121,6.3552,128,13.0,13.0,565.0,572.0,0.9878,0.9957
cuda,timm_models,xcit_large_24_p8_224,6.2275,11,1.0,1.0,1306.0,1306.0,1.0,0.9992
cuda,timm_models,cspdarknet53,6.1742,64,1.0,1.0,305.0,305.0,1.0,0.9981
cuda,huggingface,PegasusForConditionalGeneration,5.9743,8,7.0,7.0,1322.0,1324.0,0.9985,0.9981
cuda,huggingface,XGLMForCausalLM,5.9467,4,4.0,4.0,1005.0,1005.0,1.0,0.9978
cuda,huggingface,M2M100ForConditionalGeneration,5.8174,4,7.0,7.0,1333.0,1336.0,0.9978,0.9976
cuda,timm_models,twins_pcpvt_base,5.6577,128,1.0,1.0,1082.0,1082.0,1.0,0.999
cuda,timm_models,nfnet_l0,5.4237,128,1.0,1.0,521.0,521.0,1.0,0.9986
cuda,timm_models,legacy_senet154,5.4004,64,1.0,1.0,979.0,980.0,0.999,0.9994
cuda,timm_models,res2net101_26w_4s,5.2746,128,1.0,1.0,842.0,842.0,1.0,0.9993
cuda,huggingface,BlenderbotSmallForConditionalGeneration,5.2414,64,1.0,1.0,883.0,883.0,1.0,0.9987
cuda,timm_models,poolformer_m36,5.1935,64,1.0,1.0,621.0,621.0,1.0,0.9985
cuda,huggingface,LayoutLMForMaskedLM,5.1294,16,1.0,1.0,456.0,456.0,1.0,0.9975
cuda,torchbench,detectron2_maskrcnn,5.0544,2,122.0,120.0,1245.0,1788.0,0.6963,0.7109
cuda,timm_models,gernet_l,5.0343,128,1.0,1.0,246.0,246.0,1.0,0.9971
cuda,huggingface,LayoutLMForSequenceClassification,5.0322,16,2.0,2.0,454.0,455.0,0.9978,0.9965
